username,user_id,role_cd,time_zone,location_cd,country_cd
1953jokoth,1728962,ASSOCIATE,America/Vancouver,1953,CA
RKaur,1776593,ASSOCIATE,America/Toronto,1986,CA
RMathews,1299973,REST_MGR,America/Edmonton,2003,CA
Dan2021,1693607,ASSOCIATE,America/Toronto,2021,CA
0002RCrook,102206,REST_MGR,America/Toronto,2,CA
0027JAvis,1811614,ASSOCIATE,America/Toronto,27,CA
2366ebradbury,105934,MUM,America/Toronto,36,CA
0066ADoucet,1685796,ASSOCIATE,America/Toronto,66,CA
0070BMuth,190523,ASSOCIATE,America/Toronto,70,CA
ramandeep5769,1815073,ASSOCIATE,America/Toronto,95,CA
0125msuey,1481461,ASSOCIATE,America/Montreal,125,CA
hodhan134,1769866,ASSOCIATE,America/Toronto,134,CA
3695nirmal,1459170,SHIFT_LDR,America/Toronto,159,CA
PoirierA,1805650,ASSOCIATE,America/Toronto,193,CA
0236delliott,1104645,ASSOCIATE,America/Toronto,236,CA
maryrose2538,1663706,SHIFT_LDR,America/Vancouver,261,CA
0633KDeschene,168844,REST_MGR,America/Toronto,270,CA
2821KarmpalD,1635260,ASSOCIATE,America/Edmonton,300,CA
jordanbarton,1318420,SHIFT_LDR,America/Halifax,304,CA
0510DALLEN,1517191,ASSOCIATE,America/Toronto,325,CA
2037ralomar,1320382,REST_MGR,America/Toronto,334,CA
0568mg,1580175,ASSOCIATE,America/Toronto,359,CA
0461rmacneil,1252079,ASSOCIATE,America/Halifax,461,CA
jslambert,1737369,ASSOCIATE,America/Montreal,470,CA
1619rwailan,1341707,SHIFT_LDR,America/Toronto,504,CA
0529PAnn,1749265,ASSOCIATE,America/Toronto,529,CA
Slyon534,1301232,ASSOCIATE,America/Halifax,534,CA
0538NNakarani,1803423,SHIFT_LDR,America/Toronto,538,CA
0563lvalle,1670363,ASSOCIATE,America/Montreal,563,CA
0568mla,1787676,ASSOCIATE,America/Toronto,568,CA
0593Simran,1592811,SHIFT_LDR,America/Toronto,593,CA
602JMaurice,1706455,ASSOCIATE,America/Montreal,602,CA
0627earl,1653826,ASSOCIATE,America/Toronto,627,CA
0661OPapineau,1803666,ASSOCIATE,America/Toronto,661,CA
670FLORAINE,1670722,ASSOCIATE,America/Toronto,670,CA
0704spuri,1788352,ASSOCIATE,America/Vancouver,704,CA
1147lranucci,284582,REST_MGR,America/Toronto,729,CA
0738mtate,1698622,ASSOCIATE,America/Toronto,738,CA
763CMcintosh,1308282,ASSOCIATE,America/Halifax,763,CA
0768JMartin,1623866,ASSISTANT_MGR,America/Toronto,768,CA
1946LWatson,298578,SHIFT_LDR,America/Vancouver,793,CA
0797hshafiq,1627825,ASSOCIATE,America/Toronto,797,CA
0802agupta,1668880,MUM,America/Toronto,802,CA
0734CJhajj,1521142,ASSOCIATE,America/Vancouver,827,CA
florentinojames,1738900,ASSOCIATE,America/Toronto,836,CA
0861NavrattankK,1714009,ASSOCIATE,America/Toronto,861,CA
AWall870,1710223,ASSOCIATE,America/Halifax,870,CA
0938Shreya,1713013,ASSOCIATE,America/Toronto,938,CA
h.ferry98,1703382,ASSOCIATE,America/Toronto,963,CA
0997HSachs,1223488,REST_MGR,America/Halifax,997,CA
