Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/MicroStrategyLibrary/javascript/mojo/css/font/fr/css/web_fr_iconfont.css,1,31,31,31,0.00,100.000%,32.25806,46.40,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/vi-base-themes.css,1,22,22,22,0.00,100.000%,45.45455,65.39,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/core-ws.css,1,33,33,33,0.00,100.000%,30.30303,43.59,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/vi4Library.css,1,28,28,28,0.00,100.000%,35.71429,51.37,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/font/fonts.css,1,22,22,22,0.00,100.000%,45.45455,65.39,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/Vis.css,1,30,30,30,0.00,100.000%,33.33333,47.95,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/vi-heatmap.css,1,24,24,24,0.00,100.000%,41.66667,59.94,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/vi-network.css,1,24,24,24,0.00,100.000%,41.66667,59.94,0.00,1473.0
/MicroStrategyLibrary/VisFramework/ngm/dist/css/ngm.css,1,34,34,34,0.00,100.000%,29.41176,42.31,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/font/vi/css/vi_icons.css,1,29,29,29,0.00,100.000%,34.48276,49.60,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/vi-kpi.css,1,28,28,28,0.00,100.000%,35.71429,51.37,0.00,1473.0
/MicroStrategyLibrary/servlet/taskProc,1,29,29,29,0.00,100.000%,34.48276,49.60,0.00,1473.0
/MicroStrategyLibrary/javascript/bundles/vi-kpi.js,1,26,26,26,0.00,100.000%,38.46154,55.33,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/js/source/util/FontLoader.js,1,22,22,22,0.00,100.000%,45.45455,65.39,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/js/source/VisBase.js,1,36,36,36,0.00,100.000%,27.77778,39.96,0.00,1473.0
/MicroStrategyLibrary/javascript/libraries/echarts.common.min.js,1,30,30,30,0.00,100.000%,33.33333,47.95,0.00,1473.0
/MicroStrategyLibrary/javascript/libraries/slick/slick.min.js,1,33,33,33,0.00,100.000%,30.30303,43.59,0.00,1473.0
/MicroStrategyLibrary/javascript/libraries/slick/slick.css,1,26,26,26,0.00,100.000%,38.46154,55.33,0.00,1473.0
/MicroStrategyLibrary/javascript/libraries/slick/slick-theme.css,1,38,38,38,0.00,100.000%,26.31579,37.85,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/images/1ptrans.gif,1,33,33,33,0.00,100.000%,30.30303,43.59,0.00,1473.0
/MicroStrategyLibrary/javascript/mojo/css/vi/images/dataset.svg,1,42,42,42,0.00,100.000%,23.80952,34.25,0.00,1473.0
