username,user_id,role_cd,time_zone,location_cd,country_cd
1113LBerg,112022,ASSOCIATE,America/Edmonton,7546,CA
4501nnichols,1783972,ASSOCIATE,America/Toronto,4501,CA
ANHERNANDEZ218,1636655,ASSOCIATE,America/Mexico_City,8519,MX
idluevano0219,1737189,ASSOCIATE,America/Mexico_City,7838,MX
4879agrover,1700400,ASSISTANT_MGR,America/Toronto,7268,CA
LUPEDRAZA1218,1720776,ASSOCIATE,America/Mexico_City,7843,MX
7656arash,1778689,ASSOCIATE,America/Toronto,7656,CA
6931Jear,1754593,ASSOCIATE,America/Edmonton,6931,CA
1813KBhatia,1686020,SHIFT_LDR,America/Toronto,5606,CA
LaurenGuido,1765077,ASSOCIATE,America/New_York,7942,US
8163camiana,1735276,ASSOCIATE,America/Toronto,8163,CA
0741KLaird,1763238,ASSOCIATE,America/Toronto,8101,CA
0271JWaddington,1302710,ASSOCIATE,America/Toronto,6997,CA
3494MGravel,1039273,REST_MGR,America/Montreal,3494,CA
3551andrew,1823038,ASSOCIATE,America/Halifax,3551,CA
2622SWebb,138033,SHIFT_LDR,America/Vancouver,3553,CA
3596mal,1813673,ASSOCIATE,America/Montreal,3596,CA
3651SHakim,1621438,ASSOCIATE,America/Vancouver,3651,CA
3694marie,1812731,ASSOCIATE,America/Montreal,3694,CA
3787kpatterson,1531905,ASSOCIATE,America/Toronto,3787,CA
4470Ofelia,1747680,ASSOCIATE,America/Regina,3794,CA
Lucytims,1411616,ASSOCIATE,America/Toronto,3887,CA
jansantos,1171735,ASSOCIATE,America/Toronto,3894,CA
3896-Katherine,1705689,SHIFT_LDR,America/Iqaluit,3896,CA
3953JacobG,1596333,ASSOCIATE,America/Montreal,3953,CA
3989Cdorion,1756183,ASSOCIATE,America/Montreal,3989,CA
3994mthibault,1648066,ASSOCIATE,America/Montreal,3994,CA
4130KPatel,1794250,ASSOCIATE,America/Toronto,4130,CA
4153dpatel,1673049,ASSOCIATE,America/Toronto,4153,CA
4189ARojas,1766289,ASSOCIATE,America/Toronto,4189,CA
4194CTCHETCHE,1691984,ASSOCIATE,America/Montreal,4194,CA
2948ck,1815898,ASSOCIATE,America/Montreal,4196,CA
0533VROLLES,1190544,SHIFT_LDR,America/Regina,4287,CA
4289GBilling,1820587,ASSOCIATE,America/Vancouver,4289,CA
4330DTurgeon,1127155,ASSOCIATE,America/Montreal,4330,CA
4353Jaspreet,1820027,ASSOCIATE,America/Toronto,4353,CA
0614CHough,164165,ASSOCIATE,America/Toronto,4387,CA
AramarkRogers,1493231,ASSOCIATE,America/Toronto,4396,CA
4423spiche,1319873,REST_MGR,America/Montreal,4423,CA
4430tgill,1712391,ASSOCIATE,America/Montreal,4430,CA
4432Betty,1363381,ASSOCIATE,America/Toronto,4432,CA
4453Aaron,1802192,ASSOCIATE,America/Vancouver,4453,CA
4427anakkashian,1530352,ASSOCIATE,America/Montreal,4523,CA
1942ABoles,1600200,ASSOCIATE,America/Toronto,4666,CA
2458Blevy,1215141,ASSOCIATE,America/Toronto,4766,CA
4889lavigne,1739189,ASSOCIATE,America/Montreal,4889,CA
4923AMelo,1478924,SHIFT_LDR,America/Toronto,4923,CA
4925Abrar,1731582,ASSOCIATE,America/Edmonton,4925,CA
Rahelah,1628998,ASSOCIATE,America/Montreal,4966,CA
RAJPAL5066,1770725,ASSOCIATE,America/Toronto,5066,CA
3363slesage,1238780,ASSOCIATE,America/Montreal,5089,CA
5225AmyS,1769559,ASSOCIATE,America/Regina,5225,CA
mballesteros5029,1255384,ASSOCIATE,America/Edmonton,5266,CA
5323MelissaT,1744154,ASSOCIATE,America/Toronto,5323,CA
2702grace,1435343,REST_MGR,America/Edmonton,5325,CA
5359kst-jean,1823061,ASSOCIATE,America/Toronto,5359,CA
Cian5389,1680409,ASSOCIATE,America/Toronto,5389,CA
6472Jenna,1775883,ASSOCIATE,America/Edmonton,5532,CA
SULFEEKAR5559,1643762,ASSOCIATE,America/Toronto,5559,CA
Pank5568,1779977,ASSOCIATE,America/Vancouver,5568,CA
3018CClaudio,1631105,ASSOCIATE,America/Toronto,5766,CA
5768Grewald,1772796,ASSOCIATE,America/Edmonton,5768,CA
5825isingh,1653913,SHIFT_LDR,America/Toronto,5825,CA
5832BKalia,1793958,ASSOCIATE,America/Toronto,5832,CA
5866JAtienza,1719842,SHIFT_LDR,America/Vancouver,5866,CA
5868JMoormann,1780050,ASSOCIATE,America/Regina,5868,CA
5902scoulombre,1409414,MUM,America/Montreal,5902,CA
1582MRichard1,209069,REST_MGR,America/Toronto,5966,CA
6025jchan,1819877,ASSOCIATE,America/Toronto,6025,CA
